56d06a60|0101011011010000011010100|11|MISS
56d036ac|0101011011010000001101101|01|MISS
56d024c8|0101011011010000001001001|10|MISS
56d021c8|0101011011010000001000011|10|MISS
56d03460|0101011011010000001101000|11|MISS
56d081a4|0101011011010000100000011|01|MISS
56d0777c|0101011011010000011101110|11|MISS
56d06854|0101011011010000011010000|10|MISS
56d03b9c|0101011011010000001110111|00|MISS
56d08410|0101011011010000100001000|00|MISS
56d06a50|0101011011010000011010100|10|MISS
56d097dc|0101011011010000100101111|10|MISS
56d02e38|0101011011010000001011100|01|MISS
56d0074c|0101011011010000000001110|10|MISS
56d093f0|0101011011010000100100111|11|MISS
56d061e8|0101011011010000011000011|11|MISS
56d06514|0101011011010000011001010|00|MISS
56d034d8|0101011011010000001101001|10|MISS
56d01288|0101011011010000000100101|00|MISS
56d06cdc|0101011011010000011011001|10|MISS
56d03df8|0101011011010000001111011|11|MISS
56d00a6c|0101011011010000000010100|11|MISS
56d041ac|0101011011010000010000011|01|MISS
56d06d28|0101011011010000011011010|01|MISS
56d0142c|0101011011010000000101000|01|MISS
56d04014|0101011011010000010000000|00|MISS
56d02c88|0101011011010000001011001|00|MISS
56d00b40|0101011011010000000010110|10|MISS
56d01220|0101011011010000000100100|01|MISS
56d05ca4|0101011011010000010111001|01|MISS
56d047f8|0101011011010000010001111|11|MISS
56d017cc|0101011011010000000101111|10|MISS
56d09a58|0101011011010000100110100|10|MISS
56d093d0|0101011011010000100100111|10|MISS
56d01da8|0101011011010000000111011|01|MISS
56d07efc|0101011011010000011111101|11|MISS
56d06b08|0101011011010000011010110|00|MISS
56d0190c|0101011011010000000110010|00|MISS
56d0933c|0101011011010000100100110|01|MISS
56d071d0|0101011011010000011100011|10|MISS
56d04e7c|0101011011010000010011100|11|MISS
56d01a78|0101011011010000000110100|11|MISS
56d06718|0101011011010000011001110|00|MISS
56d011b8|0101011011010000000100011|01|MISS
56d0548c|0101011011010000010101001|00|MISS
56d072ec|0101011011010000011100101|11|MISS
56d00dd0|0101011011010000000011011|10|MISS
56d0400c|0101011011010000010000000|00|MISS
56d088ec|0101011011010000100010001|11|MISS
56d00154|0101011011010000000000010|10|MISS
56d09650|0101011011010000100101100|10|MISS
56d03aac|0101011011010000001110101|01|MISS
56d07978|0101011011010000011110010|11|MISS
56d06d24|0101011011010000011011010|01|MISS
56d02c2c|0101011011010000001011000|01|MISS
56d07148|0101011011010000011100010|10|MISS
56d028d4|0101011011010000001010001|10|MISS
56d04de4|0101011011010000010011011|11|MISS
56d04b00|0101011011010000010010110|00|MISS
56d03d18|0101011011010000001111010|00|MISS
56d01f78|0101011011010000000111110|11|MISS
56d02f38|0101011011010000001011110|01|MISS
56d09360|0101011011010000100100110|11|MISS
56d06638|0101011011010000011001100|01|MISS
56d09794|0101011011010000100101111|00|MISS
56d02e00|0101011011010000001011100|00|MISS
56d07f20|0101011011010000011111110|01|MISS
56d06bb8|0101011011010000011010111|01|MISS
56d01bcc|0101011011010000000110111|10|MISS
56d00c10|0101011011010000000011000|00|MISS
56d07a68|0101011011010000011110100|11|MISS
56d0172c|0101011011010000000101110|01|MISS
56d07f3c|0101011011010000011111110|01|MISS
56d042c4|0101011011010000010000101|10|MISS
56d07758|0101011011010000011101110|10|MISS
56d09568|0101011011010000100101010|11|MISS
56d01214|0101011011010000000100100|00|MISS
56d052b0|0101011011010000010100101|01|MISS
56d02e7c|0101011011010000001011100|11|MISS
56d06eb4|0101011011010000011011101|01|MISS
56d01dc4|0101011011010000000111011|10|MISS
56d06da8|0101011011010000011011011|01|MISS
56d08d30|0101011011010000100011010|01|MISS
56d04420|0101011011010000010001000|01|MISS
56d02eb8|0101011011010000001011101|01|MISS
56d092e4|0101011011010000100100101|11|MISS
56d0807c|0101011011010000100000000|11|MISS
56d060e0|0101011011010000011000001|11|MISS
56d04020|0101011011010000010000000|01|MISS
56d05040|0101011011010000010100000|10|MISS
56d0237c|0101011011010000001000110|11|MISS
56d06bfc|0101011011010000011010111|11|MISS
56d04c70|0101011011010000010011000|11|MISS
56d06f34|0101011011010000011011110|01|MISS
56d039e4|0101011011010000001110011|11|MISS
56d032e4|0101011011010000001100101|11|MISS
56d05188|0101011011010000010100011|00|MISS
56d010b0|0101011011010000000100001|01|MISS
56d0239c|0101011011010000001000111|00|MISS
56d024d8|0101011011010000001001001|10|MISS
hit rate: 0.0
